vocab,steps,ops,interp_ns_per_op,native_ns_per_op,compile_ns_per_op,tape_compile_ns_per_op
ring,1024,502,7.440,0.675,1100.26,546.81
ring,4096,2862,9.488,0.428,197.59,207.65
ring,16384,12294,10.514,0.500,125.85,228.38
ring,65536,24710,10.580,0.574,124.69,246.52
ring,262144,199312,10.951,1.342,124.22,314.22
ring,1048576,795704,11.408,2.872,124.37,491.17
elementary,1024,438,5.098,1.977,976.98,97.41
elementary,4096,2735,10.849,1.694,149.10,139.75
elementary,16384,9180,11.964,3.320,97.34,199.96
elementary,65536,30221,11.956,4.287,87.72,222.89
elementary,262144,171437,12.179,4.547,108.34,260.95
elementary,1048576,171434,12.294,4.555,100.81,269.95
full,1024,572,10.121,5.496,225.89,94.11
full,4096,2945,11.499,4.024,108.48,138.06
full,16384,6200,12.016,5.287,97.35,163.64
full,65536,31553,11.417,5.829,68.19,195.41
full,262144,136816,11.771,5.854,107.06,252.45
full,1048576,579413,11.902,6.154,93.04,451.76
