family,n,program,ops_per_unknown,build_ms,rsdag_us,klu_build_ms,klu_us
ring,1000,scalar,22.0,11.2,22.26,0.33,48.07
ring,10000,scalar,22.0,81.4,204.11,2.22,426.25
ring,100000,scalar,22.0,1168.0,3952.04,22.24,4284.32
band,1000,scalar,29.9,10.8,25.99,0.31,52.39
band,10000,scalar,30.0,139.5,315.11,3.33,520.08
band,100000,scalar,30.0,1830.7,7186.03,32.75,5292.71
grid,1024,scalar,88.0,65.3,234.39,0.70,187.33
grid,4096,scalar,125.6,560.1,4837.82,3.65,1805.97
grid,16384,supernodal,460.7,14135.0,31390.36,25.60,16708.01
random,300,scalar,133.0,39.0,148.34,0.70,155.01
random,1000,supernodal,3185.4,3782.7,7145.46,5.83,4954.49
